09/15/16,"Operan de la vesícula a Roberto Borge Angulo","http://yucatan.com.mx/qroo/breves-de-quintana-roo/operan-la-vesicula","CANCÚN, QR., (SUN).- El gobernador de Quintana Roo, Roberto Borge Angulo, fue sometido a una intervención quirúrgica esta mañana para extraerle la vesícula. La Unidad de Vocero informó que la operación, cuyos fines fueron “preventivos y correctivos”, se realizó a través del método de laparoscopia, que al resultar menos invasivo propiciará una recuperación más rápida [&#8230;]","Yucatan"
09/15/16,"Trasladan a león por falta de espacio en zoológico de Chetumal","http://yucatan.com.mx/qroo/breves-de-quintana-roo/trasladan-leon-falta-espacio-zoologico-chetumal","CHETUMAL, Quintana Roo (Notimex).- Ante la falta de espacio para continuar albergando a un león africano, el zoológico Payo Obispo solicitó el traslado del ejemplar a la Unidad de Rescate, Rehabilitación y Reubicación de Fauna Silvestre, Endémica y Exótica, Bioparque Convivencia Pachuca. Después de la solicitud de apoyo expedida por el Zoológico, argumentando no contar [&#8230;]","Yucatan"
09/15/16,"Isla Mujeres alcanza máximo histórico","http://yucatan.com.mx/qroo/isla-mujeres-alcanza-maximo-historico","Aumenta el cruce de pasajeros que van a Isla Mujeres","Yucatan"
09/15/16,"Presenta Carlos Joaquín recurso constitucional","http://yucatan.com.mx/qroo/presenta-carlos-joaquin-recurso-constitucional","Busca invalidar la “red de protección” de Roberto Borge","Yucatan"
09/15/16,"Cozumel con nueva Visitadora Adjunta de Derechos Humanos","http://yucatan.com.mx/qroo/breves-de-quintana-roo/cozumel-nueva-visitadora-adjunta-derechos-humanos","Chetumal, (Notimex).- El presidente de la Comisión de los Derechos Humanos del estado, Harley Sosa Guillén presentó a Viridiana Romero Molina como titular de la Visitaduría Adjunta en Cozumel. Precisó que como una manera de incentivar el desempeño del personal de esta institución se realizaron ajustes en estructura laboral que abonarán a optimizar aún más [&#8230;]","Yucatan"
09/15/16,"Matan a dos sujetos","http://yucatan.com.mx/qroo/matan-dos-sujetos","Ejecuciones en zonas de intensa actividad turística","Yucatan"
09/15/16,"Llevaba más de 20 mil dólares","http://yucatan.com.mx/qroo/llevaba-mas-20-mil-dolares","Un mexicano con destino a Costa Rica, detenido","Yucatan"
09/15/16,"Capturan a reos que se fugaron","http://yucatan.com.mx/qroo/capturan-reos-se-fugaron","Cuatro reclusos  de alta peligrosidad aún están libres","Yucatan"
09/15/16,"Retos para crecer","http://yucatan.com.mx/qroo/retos-para-crecer","Isla Mujeres festeja el 166 aniversario de su fundación","Yucatan"
09/15/16,"Puerto Juárez lucirá murales","http://yucatan.com.mx/qroo/puerto-juarez-lucira-murales","Implementan un plan para rescatar el punto turístico","Yucatan"
09/15/16,"Supera expectativas comerciales","http://yucatan.com.mx/qroo/supera-expectativas-comerciales","Expo Construcción Deconarq genera importantes ventas","Yucatan"
09/15/16,"Contribuye a la protección","http://yucatan.com.mx/qroo/contribuye-la-proteccion","La población de guacamayas casi se duplica en 3 años","Yucatan"
09/15/16,"Matanza de cocodrilos","http://yucatan.com.mx/qroo/matanza-de-cocodrilos-2","Una asociación de Cancún pide que se tomen medidas","Yucatan"
09/15/16,"Mayapax, tradición de150 años en Quintana Roo","http://yucatan.com.mx/qroo/breves-de-quintana-roo/mayapax-tradicion-de150-anos-quintana-roo","CANCÚN,QR., (SUN).- Desde muy pequeña, Faustina Poot Cruz aprendió de sus abuelos el arte de danzar en honor de la Santísima Cruz en una de las comunidades mayas que integran Felipe Carrillo Puerto, municipio localizado en la zona sur de Quintana Roo. Hace más de 45 años, sus infantiles ojos seguían los pasos de las [&#8230;]","Yucatan"
09/15/16,"Reitera prioridades para Quintana Roo","http://yucatan.com.mx/qroo/reitera-prioridades-quintana-roo","Gobernador electo se suma a consigna de Acción Nacional","Yucatan"
